Tytuł,Opis,Cena,Metraż
Podgórze Kalwaryjska,Kraków,328000,44.5
Grzegórzki ul Fabryczna,Kraków,910815,74.05
Bemowo,Warszawa,840000,88.8
Nowa Huta Czyżyny,Kraków,415975,47.54
Stare Miasto Garbary,Poznań,389747,40.17
Stare Miasto Centrum ul Mieczysława Niedziałkowskiego,Poznań,575920,62.6
BieżanówProkocim ul Mariana Domagały,Kraków,329840,53.2
Grunwald Bułgarska 59,Poznań,480000,73.9
Białołęka,Warszawa,585000,77.0
PragaPółnoc Łochowska,Warszawa,177000,16.14
Grunwald Ławica Bułgarska,Poznań,665040,97.8
Podgórze Duchackie Marii i Bolesława Wysłouchów,Kraków,500000,62.0
Grunwald,Poznań,570000,120.0
Podgórze Józefińska,Kraków,620000,64.0
Jeżyce ul św Wawrzyńca 11,Poznań,390282,44.86
Podgórze Duchackie Wola Duchacka,Kraków,479000,55.2
Wilda,Poznań,688500,102.0
BieżanówProkocim ul Mariana Domagały,Kraków,438496,61.76
Mokotów Sadyba ul Augustówka,Warszawa,299000,30.0
Grzegórzki Fabryczna,Kraków,474740,33.91
Wola,Warszawa,628000,50.0
Dębniki Ruczaj Lubostroń,Kraków,399000,40.76
Śródmieście,Warszawa,1199000,100.0
Nowe Miasto Ostrów Tumski Zagórze 9,Poznań,647676,59.97
Prądnik Biały Bronowice Wielkie ul Jasnogórska,Kraków,465000,86.0
Stare Miasto Naramowice,Poznań,518233,75.3
Białołęka ul Leona Berensona,Warszawa,336000,41.5
Krowodrza Juliusza Lea,Kraków,750000,70.0
Mokotów Buska,Warszawa,527300,42.25
Grunwald Górczyn Jakuba Krauthofera,Poznań,274100,35.51
Ursynów kłobucka,Warszawa,399000,33.76
Białołęka Płochocińska,Warszawa,649000,93.5
Podgórze Duchackie Wola Duchacka Bochenka,Kraków,449000,55.0
ŁagiewnikiBorek Fałęcki Łagiewniki Klementyny Hoffmanowej,Kraków,479000,51.2
Mokotów ul Domaniewska 34B,Warszawa,485700,30.07
Białołęka Nowodwory ul Pasłęcka 16 c,Warszawa,505000,84.0
Nowe Miasto Malta Katowicka,Poznań,304695,32.94
Wilanów ul Sarmacka,Warszawa,1550000,122.0
Wilanów al Aleja Rzeczypospolitej 23a,Warszawa,650000,48.28
Podgórze Duchackie Wola Duchacka Walerego Sławka,Kraków,359000,38.86
Wilanów Hlonda,Warszawa,650000,51.04
Śródmieście Piwna,Warszawa,2700000,85.0
Stare Miasto,Kraków,243000,40.5
Białołęka Erazma z Zakroczymia,Warszawa,517000,63.5
Bemowo Jelonki ul Kazimierza Wyki,Warszawa,470000,48.0
Ochota Filtry Aleja Niepodległości,Warszawa,2380000,113.5
Ursynów Wyczółki ul Kłobucka,Warszawa,615000,43.29
Wola Nowolipie,Warszawa,285000,15.33
Białołęka,Warszawa,399000,47.0
Zwierzyniec Bielany ul Księcia Józefa,Kraków,599000,80.02
Bronowice Stańczyka,Kraków,399000,36.7
BieżanówProkocim ul Mariana Domagały,Kraków,292480,45.7
Ursus Dzieci Warszawy,Warszawa,799000,77.0
Stare Miasto Kazimierz Wiślisko,Kraków,990000,75.0
Nowe Miasto Malta,Poznań,468300,66.9
Krowodrza,Kraków,599850,46.5
PragaPołudnie Grochów,Warszawa,579480,52.68
Krowodrza,Kraków,490000,47.9
Nowa Huta Czyżyny,Kraków,599000,84.36
Nowe Miasto Malta ul Katowicka,Poznań,549015,64.59
PragaPołudnie Gocław,Warszawa,380300,30.81
Mokotów,Warszawa,330000,25.0
PragaPółnoc ul Szwedzka,Warszawa,612241,52.93
Nowe Miasto Rataje OFERTA ZAREZERWOWANA,Poznań,220000,23.0
BieżanówProkocim Bieżanów Mariana Domagały,Kraków,419000,45.59
Stare Miasto Winogrady Hawelańska,Poznań,515000,57.9
Podgórze Duchackie Kurdwanów ul por Halszki,Kraków,119000,44.8
Zwierzyniec Wola Justowska,Kraków,1100000,131.36
Dębniki,Kraków,379000,35.43
Podgórze ul Stanisława Klimeckiego,Kraków,729000,71.73
Podgórze Stare Podgórze ul Stanisława Mitery,Kraków,510000,51.16
Zwierzyniec Filarecka,Kraków,325000,21.09
Prądnik Biały ul Zygmunta Glogera,Kraków,430000,39.0
Jeżyce Wola ul Janusza Meissnera,Poznań,722812,93.75
Targówek BródnoPodgrodzie ul Łojewska,Warszawa,439000,47.0
Prądnik Czerwony Lublańska,Kraków,423000,44.73
PragaPołudnie Grochów Prochowa 42,Warszawa,524000,46.05
Białołęka Skarbka z Gór,Warszawa,375000,53.7
Bemowo gen Tadeusza Pełczyńskiego,Warszawa,595000,48.7
Jeżyce Wola ul Janusza Meissnera,Poznań,479338,61.14
Nowa Huta,Kraków,375000,48.0
Wola Odolany Juliana Konstantego Ordona,Warszawa,1860000,124.24
Mistrzejowice,Kraków,575000,70.5
Śródmieście Chmielna,Warszawa,625000,45.3
BieżanówProkocim Rydygiera okolice,Kraków,589000,76.22
Wola,Warszawa,496000,44.5
Bemowo,Warszawa,625000,70.0
Mokotów,Warszawa,579700,42.0
Targówek Bródno,Warszawa,399000,38.0
Grunwald Bułgarska,Poznań,403650,60.3
Wilanów Adama Branickiego,Warszawa,870000,68.0
Ursus,Warszawa,500000,45.0
Grunwald Jeleniogórska,Poznań,449000,63.37
Stare Miasto pl Na Groblach,Kraków,4998000,178.5
Wilda Wierzbięcice,Poznań,699000,133.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,709000,69.67
Grzegórzki Grzegórzecka,Kraków,1003557,81.59
Krowodrza Kazimierza Pużaka,Kraków,360000,37.5
Podgórze ul Koszykarska,Kraków,621800,62.0
Białołęka,Warszawa,448000,64.97
Prądnik Czerwony Promienistych,Kraków,499000,58.0
Grzegórzki Grzegórzecka,Kraków,692820,51.32
Stare Miasto Naramowice ul Karpia,Poznań,477654,66.35
Grunwald ul Budziszyńska,Poznań,405333,45.39
Dębniki Stare Dębniki Kazimierza Pułaskiego,Kraków,850000,64.0
Mokotów Sielce,Warszawa,1890000,119.53
Ochota Archiwalna,Warszawa,390000,37.0
Śródmieście Centrum,Kraków,754600,77.0
Prądnik Biały al 29 Listopada,Kraków,834784,109.84
Mokotów Sielce Bobrowiecka,Warszawa,669000,58.52
Wilanów Prymasa Augusta Hlonda,Warszawa,645000,51.0
Ursynów,Warszawa,498000,45.5
Rembertów Gwarków,Warszawa,279900,37.0
Nowe Miasto Polanka 2,Poznań,710446,82.61
Mistrzejowice Piasta Kołodzieja,Kraków,530000,48.5
Jeżyce Winiary Piątkowska 133,Poznań,410000,51.88
Wola Juliana Konstantego Ordona,Warszawa,751070,76.68
Ursynów ul Poloneza,Warszawa,535000,51.46
Wola Prosta,Warszawa,750700,46.9
Grzegórzki ul płk Francesco Nullo,Kraków,699017,57.77
Stare Miasto Starowiślna,Kraków,1150000,74.0
PragaPołudnie Gocław Stanisława Rogalskiego,Warszawa,796800,103.97
Zwierzyniec Podłącze,Kraków,1512720,132.09
Targówek Targówek Mieszkaniowy,Warszawa,520000,51.1
Białołęka Nowodwory Aluzyjna,Warszawa,499900,57.5
Mokotów,Warszawa,1150000,66.0
Śródmieście,Warszawa,500000,40.0
Wilda ul Saperska,Poznań,360000,48.0
Włochy Stare Włochy ul Solipska,Warszawa,576000,71.0
Stare Miasto Naramowice,Poznań,591000,91.0
Nowe Miasto Ostrów Tumski Zagórze 9,Poznań,530339,51.69
PragaPołudnie,Warszawa,550000,52.0
Zwierzyniec,Kraków,999000,180.0
Grunwald Jugosłowiańska,Poznań,235000,30.8
Prądnik Biały Żabiniec Żabiniec,Kraków,569000,53.0
Mokotów Etiudy Rewolucyjnej,Warszawa,370000,32.0
Śródmieście ul Świętokrzyska,Warszawa,599000,26.2
Ursynów Wyczółki,Warszawa,708000,65.25
Stare Miasto Winogrady ul Wilczak,Poznań,459000,54.0
Podgórze ul Koszykarska,Kraków,621800,62.18
Ochota,Warszawa,1080000,91.0
Prądnik Biały Władysława Łokietka,Kraków,449000,83.0
Bielany Marymont Ul Słowiańska 23,Warszawa,705154,44.55
Mokotów Białej Koniczyny,Warszawa,1802400,113.0
Grunwald Górczyn ul Ceglana,Poznań,486164,50.12
Wola Kajetana Garbińskiego,Warszawa,380000,37.0
BieżanówProkocim Bieżanów ul Mała Góra osiedle Nowy Bieżanów,Kraków,415000,48.0
Stare Miasto Piątkowo,Poznań,569000,80.0
Dębniki Ruczaj prof Michała Bobrzyńskiego,Kraków,680000,66.0
Wola Muranów Mordechaja Anielewicza,Warszawa,550000,49.5
PragaPołudnie Grochowska,Warszawa,241773,24.39
PragaPołudnie,Warszawa,620000,70.23
Bemowo ul Strzelców 2a,Warszawa,656000,54.94
Stare Miasto,Poznań,358931,51.1
Stare Miasto ul Szlak,Kraków,715000,57.0
Nowa Huta Czyżyny ul Woźniców,Kraków,568765,59.87
Mokotów al Wilanowska,Warszawa,1960000,183.0
Grunwald Ławica Złotowska,Poznań,604344,77.48
Ochota,Warszawa,470000,46.0
Wzgórza Krzesławickie,Kraków,415000,88.0
Rembertów,Warszawa,550500,60.0
Nowe Miasto Starołęka Wagrowska,Poznań,296990,36.6
Grzegórzki Sądowa,Kraków,690000,68.0
Mokotów Obrzeżna,Warszawa,399999,28.0
Ursus Dzieci Warszawy,Warszawa,462900,51.95
Mokotów Stegny ul Korsykańska,Warszawa,615000,56.2
Ochota,Warszawa,344000,23.0
Stare Miasto Winogrady,Poznań,254000,32.0
Grzegórzki ul Fabryczna,Kraków,532005,36.69
Bronowice ul Bronowicka,Kraków,653838,55.41
Śródmieście Powiśle,Warszawa,1400000,86.0
Mokotów Górny Mokotów ul Wincentego Rzymowskiego,Warszawa,1180000,117.0
Ursus Skorosze,Warszawa,580000,57.0
Jeżyce,Poznań,538803,71.26
Jeżyce Podolany,Poznań,230000,30.0
PragaPołudnie Grochów ul Siennicka,Warszawa,573542,58.23
Śródmieście Madalińskiego,Kraków,1574937,63.0
Nowe Miasto Starołęka ul Starołęcka 42,Poznań,374400,52.01
Prądnik Biały,Kraków,475000,46.5
PragaPołudnie ul Żupnicza,Warszawa,659000,64.0
Stare Miasto Centrum Rybaki 1,Poznań,702150,75.5
Bielany Wojciecha Bogusławskiego,Warszawa,570000,64.8
Podgórze Duchackie ul Walerego Sławka,Kraków,449000,46.7
Wola,Warszawa,510000,43.0
PragaPółnoc ul Szwedzka,Warszawa,569100,46.04
Ochota Stara Ochota Sąchocka,Warszawa,349000,28.3
Białołęka ul Krzyżówki,Warszawa,499000,41.6
Dębniki,Kraków,489000,43.9
Stare Miasto Krowoderska,Kraków,499000,28.65
Bemowo Chrzanów Batalionów Chłopskich 87,Warszawa,737000,67.05
Targówek Bródno Rzepichy,Warszawa,680000,61.0
PragaPółnoc Radzymińska,Warszawa,354375,33.75
Dębniki Rzemieślnicza,Kraków,699000,64.89
Zwierzyniec,Kraków,1104737,174.77
Podgórze,Kraków,623267,70.03
Jeżyce Smochowice,Poznań,551521,78.8
Mokotów,Warszawa,410000,28.37
Mokotów,Warszawa,795000,60.95
Prądnik Biały,Kraków,519000,56.0
Mistrzejowice Mistrzejowice,Kraków,488808,67.89
PragaPołudnie Gocław ul Floriana Znanieckiego,Warszawa,520000,40.2
Nowe Miasto Malta,Poznań,575950,75.85
Wola Odolany,Warszawa,445468,37.45
Targówek,Warszawa,300000,33.0
Stare Miasto Aleja Juliusza Słowackiego,Kraków,699000,54.0
Jeżyce Strzeszyn Żołnierzy Wyklętych,Poznań,453336,58.12
Krowodrza Armii Krajowej,Kraków,365000,38.88
Śródmieście Śródmieście Południowe Aleja Jana Chrystiana Szucha,Warszawa,3150000,175.1
PragaPołudnie,Warszawa,715000,105.0
Nowe Miasto Malta ul Katowicka,Poznań,316875,32.5
PragaPołudnie,Warszawa,615000,60.0
Mistrzejowice ul Piasta Kołodzieja,Kraków,484538,59.09
Wilda Jana Umińskiego,Poznań,294147,40.02
Mokotów,Warszawa,585000,43.0
PragaPołudnie Gocławek,Warszawa,610827,70.22
Wola Szlenkierów,Warszawa,1620000,152.0
Śródmieście ul Burakowska,Warszawa,559000,36.0
PragaPołudnie Gocław,Warszawa,512512,46.47
wielkopolskie,Poznań,273048,29.36
Bemowo ul Powstańców Śląskich,Warszawa,359000,32.0
Krowodrza Królewska,Kraków,420000,35.5
Bielany ul Rudzka 5,Warszawa,658400,52.9
Prądnik Biały Szymona Zimorowicza,Kraków,399000,42.6
Podgórze,Kraków,449000,43.9
Włochy Nowe Włochy,Warszawa,700000,86.5
Grunwald Babimojska,Poznań,385000,56.0
Stare Miasto,Kraków,1100000,96.7
Stare Miasto Naramowice ul Czarnucha,Poznań,301924,39.16
Ursus,Warszawa,799000,96.0
Ochota,Warszawa,2504460,178.89
Nowa Huta Czyżyny Nowohucka 46,Kraków,381667,40.82
Wola,Warszawa,879900,63.46
Bemowo Jana Blatona,Warszawa,614000,63.4
Nowa Huta Czyżyny ul Sołtysowska,Kraków,349600,34.96
ŁagiewnikiBorek Fałęcki Borek Fałęcki Kościuszkowców,Kraków,490000,75.5
BieżanówProkocim Agatowa,Kraków,286000,38.02
Grzegórzki,Kraków,493500,35.25
Podgórze Duchackie Wola Duchacka Walerego Sławka,Kraków,379000,38.86
Mistrzejowice,Kraków,435150,48.18
Wola,Warszawa,960000,76.7
Targówek,Warszawa,529000,56.0
Ochota Stara Ochota,Warszawa,1350000,118.23
Podgórze,Kraków,292480,45.7
Śródmieście Pańska,Warszawa,624000,47.0
Ursynów ul Rumby,Warszawa,1129000,113.0
Grzegórzki Grzegórzecka,Kraków,1045800,74.7
Podgórze Duchackie Kurdwanów Marii i Bolesława Wysłouchów,Kraków,295000,36.9
Prądnik Biały,Kraków,890000,78.0
Grzegórzki ul Fabryczna,Kraków,518085,35.73
Wola Wolska,Warszawa,169000,14.63
Włochy al Aleja Dwudziestolatków,Warszawa,380000,38.0
Prądnik Czerwony ul Promienistych,Kraków,441686,45.07
Mokotów Dolny Mokotów ul Boryszewska,Warszawa,1878000,107.0
Jeżyce Sołacz ul Michała Drzymały,Poznań,977523,105.11
Rembertów ul Chełmżyńska,Warszawa,361702,49.89
Mokotów ul Domaniewska 34B,Warszawa,781300,62.66
Wilanów ul Adama Branickiego,Warszawa,1040000,89.4
Ochota,Warszawa,765000,70.0
Krowodrza Stańczyka,Kraków,319000,27.41
Wola Muranów,Warszawa,679000,50.0
Krowodrza al Adama Mickiewicza,Kraków,525000,38.0
Bielany,Warszawa,530000,40.0
Krowodrza Mazowiecka,Kraków,690000,70.98
Podgórze Płaszów,Kraków,356000,39.57
Stare Miasto Winogrady Wyżyny,Poznań,1180000,107.0
PragaPołudnie Gocławek,Warszawa,484700,55.0
PragaPołudnie,Warszawa,750000,82.28
Rembertów,Warszawa,456212,67.09
Stare Miasto Piątkowo ul Teofila Mateckiego,Poznań,434165,61.15
Stare Miasto Winogrady ul Hawelańska,Poznań,372704,49.04
Grunwald,Poznań,351000,46.73
Stare Miasto Winogrady,Poznań,470000,54.0
Podgórze Zabłocie,Kraków,369000,28.36
PragaPółnoc ul Szwedzka,Warszawa,596257,47.8
Mokotów ul Domaniewska 34B,Warszawa,420900,27.78
Włochy,Warszawa,504450,53.1
Nowa Huta Czyżyny ul Woźniców,Kraków,424680,35.39
Bielany Wawrzyszew Wrzeciono,Warszawa,445000,53.5
Mokotów,Warszawa,449990,34.0
Żoliborz ul ks Jerzego Popiełuszki,Warszawa,396500,27.0
Wola Łucka,Warszawa,2200000,76.1
Jeżyce os Lotnictwa Polskiego,Poznań,379000,54.0
Śródmieście Śródmieście Południowe Hoża,Warszawa,2150000,126.4
Podgórze ul Myśliwska,Kraków,399000,38.59
Białołęka Tarchomin ul Śreniawitów,Warszawa,599000,65.4
Podgórze Zabłocie,Kraków,1115000,106.0
Bemowo,Warszawa,590000,52.23
Grzegórzki Ogrodnicza,Kraków,564000,47.0
Prądnik Czerwony Strzelców,Kraków,355000,34.5
Swoszowice Opatkowice Dębskiego Taklińskiego Petrażyckiego,Kraków,453499,66.69
Prądnik Biały,Kraków,476649,50.2
Bielany ul Rudzka 5,Warszawa,695200,52.88
Białołęka ul Leona Berensona,Warszawa,449000,48.3
Krowodrza ul Żabiniec,Kraków,399000,29.3
Podgórze Targowa,Kraków,929000,65.0
Ochota Rakowiec Dwudziestolatków,Warszawa,380000,37.0
Grunwald Jeleniogórska 13,Poznań,272073,30.57
Śródmieście Śródmieście Południowe,Warszawa,1050000,68.0
Mokotów,Warszawa,635000,64.5
Mokotów Służewiec,Warszawa,659000,48.65
Krowodrza al Juliusza Słowackiego,Kraków,1080000,118.0
Krowodrza ul Juliusza Lea,Kraków,229000,12.0
Prądnik Biały,Kraków,539000,69.0
Podgórze Duchackie Wola Duchacka,Kraków,465000,62.0
Nowe Miasto Malta ul Katowicka,Poznań,540960,77.28
Grunwald Łazarz,Poznań,440000,55.6
Dębniki KlinyZacisze Bartla,Kraków,390000,43.5
Podgórze Duchackie Kurdwanów Marii i Bolesława Wysłouchów,Kraków,449000,52.5
Stare Miasto Winogrady Wichrowe Wzgórze,Poznań,440000,65.0
Bemowo Górce gen Tadeusza Pełczyńskiego,Warszawa,614000,49.0
Stare Miasto Kazimierz Starowiślna,Kraków,799900,54.02
Mokotów,Warszawa,400000,34.0
Podgórze Duchackie Czarnogórska,Kraków,537000,57.5
Targówek,Warszawa,499000,48.0
Grunwald Jeleniogórska 13,Poznań,331868,40.73
Podgórze Duchackie Wola Duchacka,Kraków,695000,62.0
Jeżyce Wola ul Janusza Meissnera,Poznań,718832,93.72
Wilda,Poznań,359000,75.52
Śródmieście Powiśle Dobra,Warszawa,729000,56.0
Dębniki KlinyZacisze bpa A Małysiaka,Kraków,484725,70.25
Prądnik Biały,Kraków,379000,38.0
PragaPołudnie Gocław ul Jugosłowiańska,Warszawa,710000,54.6
Stare Miasto Piątkowo os Stefana Batorego,Poznań,549000,64.4
Białołęka Tarchomin ul Nagodziców,Warszawa,380000,47.5
Mokotów ul Zdziechowskiego 6,Warszawa,2630000,133.45
Śródmieście,Warszawa,799000,47.0
Grunwald Hetmańska,Poznań,434000,67.6
Nowa Huta Aleja Jana Pawła II,Kraków,568000,50.22
PragaPołudnie,Warszawa,1300000,115.6
Wola ul Kacpra Karlińskiego,Warszawa,520684,44.43
Stare Miasto ul Długa 24,Kraków,561750,27.92
Stare Miasto rynek Dębnicki,Kraków,1290000,96.0
Nowe Miasto Malta ul Katowicka,Poznań,515880,57.32
Białołęka Mochtyńska,Warszawa,355000,46.0
Targówek,Warszawa,490000,50.0
Śródmieście,Warszawa,1190000,41.0
Krowodrza ul Piastowska,Kraków,444800,32.0
Ursynów ul Aleksandra Kostki Napierskiego,Warszawa,1354000,165.07
Mokotów Górny Mokotów ul Wielicka,Warszawa,990000,71.0
Wesoła Szkolna,Warszawa,410000,47.0
Białołęka Tarchomin,Warszawa,276770,28.63
Stare Miasto ul Żelazna,Kraków,289000,16.5
Wawer os Borki,Warszawa,640000,73.0
Wola,Warszawa,509000,37.0
Nowe Miasto Malta ul Katowicka,Poznań,392130,43.57
Stare Miasto Piątkowo,Poznań,280000,32.0
Centrum Piękna,Warszawa,1056600,58.7
Żoliborz Gwiaździsta,Warszawa,660000,61.0
Mokotów Wałbrzyska,Warszawa,980000,92.0
Wola Marcina Kasprzaka,Warszawa,1000000,85.62
Wola Muranów,Warszawa,440000,38.0
Podgórze,Kraków,710000,51.0
Ochota,Warszawa,539000,46.63
Grzegórzki ul Grzegórzecka,Kraków,679455,50.33
Podgórze rynek Podgórski,Kraków,349000,35.0
Stare Miasto Naramowice ul Karpia,Poznań,398000,45.37
Grzegórzki ul płk Francesco Nullo,Kraków,856992,75.84
Śródmieście,Kraków,628400,62.84
PragaPołudnie Gocław,Warszawa,612000,63.81
BieżanówProkocim ul Mariana Domagały,Kraków,302940,45.9
Podgórze Adama Bochenka,Kraków,334836,47.16
PragaPółnoc,Warszawa,329000,33.0
Wilda Dolina,Poznań,359000,38.4
Śródmieście bp Jana Prandoty,Kraków,627445,68.95
PragaPółnoc Wiosenna,Warszawa,549000,59.5
Białołęka Wyspiarska,Warszawa,628000,71.3
BieżanówProkocim Bieżanów Aleksandry,Kraków,292000,35.0
Nowe Miasto Rataje,Poznań,262707,30.47
Śródmieście Zygmunta Słomińskiego,Warszawa,623192,47.06
Stare Miasto Winogrady Wilczak 20,Poznań,460010,58.6
Stare Miasto pl Juliusza Kossaka,Kraków,512575,29.29
Podgórze Koszykarska,Kraków,598000,78.2
Podgórze Zabłocie Ślusarska,Kraków,416000,26.0
Włochy ul Kazimierza Zarankiewicza,Warszawa,419000,47.0
Wola ul Sztuk Pięknych,Warszawa,549000,41.13
Wola ul Dzielna,Warszawa,359000,19.0
Wola Juliana Konstantego Ordona,Warszawa,1016807,98.7
Jeżyce ul św Wawrzyńca 11,Poznań,526059,67.53
Grunwald Górczyn,Poznań,715000,90.0
Podgórze Wielicka 181,Kraków,435000,55.0
Krowodrza Nawojki,Kraków,740000,68.0
Zwierzyniec Salwator gen Tadeusza Kościuszki,Kraków,825690,48.57
Podgórze,Kraków,399121,39.47
BieżanówProkocim,Kraków,354981,38.17
Wilanów,Warszawa,899000,80.3
Mokotów ul Domaniewska 34B,Warszawa,559900,33.54
Prądnik Czerwony ks Józefa Meiera,Kraków,495000,60.0
Nowe Miasto Chartowo ul Dymka,Poznań,354638,40.53
Wola Mirów Łucka,Warszawa,1299000,126.0
Stare Miasto Naramowice ul Czarnucha,Poznań,449129,62.64
Śródmieście Aleje Jerozolimskie,Warszawa,920000,71.0
Bemowo,Warszawa,567800,66.25
Prądnik Czerwony ul Śliczna,Kraków,1033916,87.03
Podgórze,Kraków,779000,80.58
Bronowice Jabłonkowska,Kraków,599900,72.16
Nowe Miasto Rataje ul Wagrowska,Poznań,443905,57.65
Mokotów Sielce ul Sielecka,Warszawa,449000,32.0
Śródmieście Powiśle Juliana Smulikowskiego,Warszawa,505440,28.08
BieżanówProkocim Malachitowa,Kraków,355000,57.0
PragaPołudnie,Warszawa,465000,46.2
Ochota,Warszawa,320000,26.0
Bielany Młociny Tomasza Nocznickiego,Warszawa,515000,48.6
Prądnik Biały Górka Narodowa Stefana Banacha,Kraków,450063,47.4
Podgórze Duchackie Wola Duchacka,Kraków,499000,55.23
Stare Miasto,Kraków,1490000,100.0
Zwierzyniec Emaus,Kraków,1207500,102.0
Mokotów,Warszawa,520000,50.0
Bielany ul Zgrupowania AK,Warszawa,699000,59.2
Dębniki,Kraków,994220,139.4
Zwierzyniec Salwator ul Kornela Ujejskiego,Kraków,275000,26.0
Zwierzyniec Salwator,Kraków,455698,30.62
Śródmieście Nowe Miasto,Warszawa,850000,49.07
Ochota Rakowiec Racławicka,Warszawa,480000,41.0
Białołęka Żerań ul Portowa,Warszawa,599000,76.0
PragaPołudnie Saska Kępa,Warszawa,2280000,176.0
Mokotów Sielecka,Warszawa,520000,46.94
PragaPołudnie Łukowska,Warszawa,650000,83.2
BieżanówProkocim Mariana Domagały,Kraków,365000,50.52
Krowodrza Stachiewicza,Kraków,315000,37.0
PragaPołudnie ul Fundamentowa,Warszawa,768000,63.0
BieżanówProkocim Wielicka 179,Kraków,353188,38.39
Jeżyce Piotra Wawrzyniaka,Poznań,238000,24.06
Grunwald ul Jeleniogórska,Poznań,510697,69.51
Jeżyce,Poznań,1006050,105.9
PragaPółnoc ul Szwedzka,Warszawa,672020,53.39
Dębniki KlinyZacisze Bartla,Kraków,399000,43.6
Grzegórzki ul Grzegórzecka,Kraków,416500,29.75
Wola,Warszawa,950000,83.22
Dębniki KlinyZacisze ul Mieczykowa 26,Kraków,475000,55.0
Grunwald ul Budziszyńska,Poznań,490377,65.34
Mistrzejowice ul Piasta Kołodzieja,Kraków,353742,40.66
Nowa Huta Słoneczne,Kraków,410000,47.89
Krowodrza Długa,Kraków,1500000,122.07
Podgórze,Kraków,429000,34.53
Dębniki Skwerowa,Kraków,2188800,115.0
Mokotów,Warszawa,425000,37.4
BieżanówProkocim Złocień,Kraków,359936,48.64
Podgórze Płaszów ul Przewóz,Kraków,530950,57.4
Wola ul Grodkowska,Warszawa,839000,70.0
Mokotów Sielce Gagarina,Warszawa,385000,29.85
Jeżyce Strzeszyn,Poznań,328618,44.71
Podgórze Duchackie Wola Duchacka Przykopy,Kraków,415000,44.9
Stare Miasto Grabowskiego,Kraków,414000,36.0
Prądnik Biały Azory Radzikowskiego,Kraków,248140,26.12
Grzegórzki ul Fabryczna,Kraków,1096640,95.36
Mokotów Zbyszka Cybulskiego,Warszawa,3100000,161.0
Mokotów ul Michała Bałuckiego,Warszawa,1455000,101.2
Żoliborz Rydygiera 6,Warszawa,629000,38.0
Białołęka ul Skarbka z Gór,Warszawa,555000,68.0
Mistrzejowice ul Piasta Kołodzieja,Kraków,452928,47.18
Grunwald Górczyn Bosa,Poznań,390000,47.5
Śródmieście Śródmieście Północne,Warszawa,465000,24.92
Nowe Miasto Rataje os Orła Białego,Poznań,359000,48.8
Krowodrza,Kraków,797000,70.0
Krowodrza Krowodrza Górka Prądnicka,Kraków,415000,46.0
Zwierzyniec Wola Justowska,Kraków,911838,110.0
Mokotów Loggia 25m2 z widokiem na Warszawę Kup w systemie 1090,Warszawa,1054704,95.7
BieżanówProkocim Kozłówek,Kraków,385000,44.31
ŁagiewnikiBorek Fałęcki Borek Fałęcki Żywiecka,Kraków,1263000,115.0
Grunwald,Poznań,177500,22.0
Wawer,Warszawa,770000,72.61
Ochota,Warszawa,610000,46.68
Podgórze Nadwiślańska,Kraków,530000,31.0
Nowe Miasto Kobyle Pole ul abp Walentego Dymka,Poznań,285200,36.8
Mokotów ul Białego Dębu 1,Warszawa,1605300,111.46
Grzegórzki Grzegórzecka,Kraków,350697,25.23
Nowe Miasto Rataje ul Wagrowska,Poznań,289899,35.23
Targówek ul Michała Ossowskiego,Warszawa,600000,50.59
Ochota,Warszawa,328500,23.5
Ursus Dzieci Warszawy,Warszawa,446200,48.5
Grunwald Łazarz Głogowska,Poznań,399000,60.5
Nowe Miasto Malta,Poznań,410000,60.9
Grzegórzki ul płk Francesco Nullo,Kraków,569000,36.0
Grzegórzki Olsza Młyńska,Kraków,360000,33.6
Śródmieście Bohomolca,Kraków,419000,33.27
Stare Miasto Stefana Batorego,Kraków,1650000,127.0
Podgórze Zabłocie,Kraków,469000,39.07
Białołęka Żerań Krzyżówki,Warszawa,540000,69.0
Podgórze Przewóz,Kraków,963072,109.44
PragaPółnoc ul Szwedzka,Warszawa,846508,63.21
Wola,Warszawa,456000,38.0
Śródmieście,Warszawa,5190000,161.46
Wzgórza Krzesławickie os Na Wzgórzach,Kraków,355000,47.0
Śródmieście Powiśle św Franciszka Salezego,Warszawa,679000,53.0
Stare Miasto ul Opieńskiego 12,Poznań,348878,39.09
Mokotów ul Domaniewska 34B,Warszawa,876100,66.0
Mokotów Buska,Warszawa,460000,31.7
Krowodrza Stanisława Konarskiego,Kraków,200000,16.2
Mistrzejowice,Kraków,431973,53.33
Ochota Rakowiec,Warszawa,455000,41.6
Prądnik Biały Azory Marii Jaremy,Kraków,309000,37.1
Nowa Huta os Hutnicze,Kraków,299000,36.0
Stare Miasto Naramowice Karpia,Poznań,439360,68.65
Swoszowice Opatkowice ul Jerzego Smoleńskiego,Kraków,469974,64.44
Podgórze Zabłocie Zabłocie,Kraków,610000,38.0
Podgórze Mariana Domagały,Kraków,479000,60.0
Nowe Miasto Malta,Poznań,401000,47.68
Nowe Miasto Rataje,Poznań,456369,59.41
Targówek Bródno Bolesławicka,Warszawa,425000,53.5
Mokotów Atrakcyjny system 1090 Sprawdź,Warszawa,530541,42.0
Wilanów,Warszawa,795000,53.08
Grunwald ul Budziszyńska,Poznań,498740,64.42
Prądnik Biały 29 Listopada,Kraków,449968,47.39
Rembertów,Warszawa,549000,61.3
